ah	aa
propaganda	dacaayo
earlobe	dacal
jackal	dacawo
neglected	dacdarraysan
inattention	dacgabid
weaken	daciif
weak	daciifsan
misery	dacluus
lawsuit	dacwad
sue	dacwee
sue	dacwi
lawsuit	dacwo
protest	dacwood
people	dad
strive	dadaal
populous	dadbadan
tethered	daddaabbeysan
xenophobia	dadqalaad-nacayb
cannibalism	dadqalnimo
public	dadweyne
tambourine	daf
horsedysentery	dafac
interloper	dafdafle
deceive	dag
migrant	dagaag
strategy	dagaal-aqoon
soldier	dagaallame
fighter	dagaalyahan
settlement	dagaan
deceived	dagan
pheasant	dagiiran
defenselessness	dagnaan
defenselessness	dagnaansho
deception	dagniin
decorate	dahaar
decoration	dahaar
decorated	dahaaran
gold	dahab
goldsmith	dahable
Dahaba	Dahabo
covered	dahsoon
wild	dakaamo
port	dakad
post	dakhal
income	dakhli
country	dal
emigrate	dalaab
unlucky	dalaafsan
divorce	dalaaq
divorce	dalaaqid
knockknee	dalab
crop	dalag
countries	dalal
staggering	dalanbaabbi
staggering	dalandal
immigration	dalaw
knockknees	dalbajuuco
hang	daldal
massage	daliig
massage	daliigmo
catalog	daliilhaye
patriotism	daljecli
soldier	daljir
repatriation	dalkucelin
wide	dallaal
shadepiece	dallaallimo
umbrella	dallaayad
Dallaayad	Dallaayad
saute	dallac
promotion	dallacaad
elevated	dallacan
hoist	dallici
pierce	dalooli
immigrant	dalow
divorce	dalqad
uvula	dalqe
uvula	dalqo
homesickness	daltabyo
massage	daluug
tour	dalxiis
tourist	dalxiise
tourism	dalxiisnimo
bail	damaanad
festival	damaashaad
desire	damac
desire	damac
desirous	damacsan
ash	dambas
basket	dambiil
zebra	dameer farow
stupidity	damiinnimo
conscience	damiir
dizziness	dammaad
dizzy	dammaadsan
bail	dammiin
harpoon	damrad
interest	dan
generator	danabdhaliye
neigh	danan
opportunist	danayste
opportunism	danaystenimo
crime	danbaab
flicker	danbaabburo
ash	danbas
behind	danbe
rear	danbeed
behind	danbeeya
boulder	dandaan
aimless	danla'
aimlessly	danla'aaneed
thought	danni
pain	danqadaan
cooperative	danwadaag
poor	danyar
toddle	daqaqan
flour	daqiiq
minute	daqiiqad
minute	daqiiqo
fly	daqsi
sake	dar
fezes	daraabiish
sake	daraad
study	daraasad
respect	darajee
rank	darajo
lesson	daras
canvas	darbaal
prepared	darban
readiness	darbanaan
prepare	darbi
growth	darbo
will	dardaaran
warn	dardaarweri
warning	dardaarweris
sense	dareeme
sense	dareen
suspicion	dareen
feeling	dareensad
suspect	dareenso
leak	dareer
driver	dareewal
adding	darid
mat	darin
study	daris
neighbor	daris
colt	darmaan
Darmaan	Darmaan
mat	darmo
despise	darrow
dozen	darsan
lesson	darsi
cloud	daruur
cloudy	daruuran
cloudy	daruuraysan
edge	daruuri
trouble	darxumo
order	dastuur
tailor	dawaarle
dressmaker	dawaarley
jackal	dawaco
dizzy	dawakhsan
bell	dawan
begging	dawar
begging	dawarsi
beg	dawarso
injustice	dawdarro
chatter	dawdawlee
aged	da'weyn
government	dawlad
superpowers	dawladaha waaweyn
governmental	dawladeed
statehood	dawladnimo
governmental	dawli
wellrope	dawli
jackal	dawo
role	dawr
rust	daxal
propaganda	dayaayad
negligence	dayac
neglect	dayac
neglected	dayacan
maintained	dayactiran
young	da'yar
youth	da'yar
imitation	dayasho
moon	dayax
disoriented	dayeysan
glance	daymo
borrow	daynso
jackal	dayo
bewilderment	dayow
disown	dayri
airplane	dayuurad
rascal	dayuus
treatment	ddaaweyn
loosen	debci
looseness	debcin
loose	debecsan
exterior	debed
covered	dedan
hurry	deddeji
cold	deddo
deposit	deebaaji
insult	deedifee
insult	deedifo
whoa	deeg
forest	deegaan
Deq	Deeq
Deka	Deeqa
stingy	deeqdaran
satisfied	deeqtoon
valley	deexad
talkativeness	deexad
slope	degaan-deg
resident	degane
descent	degasho
speed	degdeg
hurry	degdeg
hurry	degdegid
haste	degdegsiinyo
accelerator	degdejiye
Degan	Deggan
stability	degganaansho
dung	dego
set	degsan
dock	deked
decree	dekreeto
hanged	deldelan
pardon	dembidhaaf
offender	dembile
wall	derbi
rank	derejo
neighbor	deris
lesson	dersi
studying	dersid
dozen	dersin
begging	dewersi
beg	dewerso
glance	dey
fence	deyd
borrow	deymo
abandoning	deyn
creditor	deynle
borrowing	deynmid
debtor	deynqabe
borrow	deynso
fence	deyr
healthylooking	dhaaddan
tall	dhaadheer
exchange	dhaafsad
exchange	dhaafso
mimicking	dhaajin
dirty	dhaaman
mirage	dhaan dabaggaalle
idiot	dhaandhaan
filled	dhaansan
dance	dhaantee
oath	dhaar
swear	dhaaro
grease	dhaashi
grease	dhaasho
wound	dhaawac
injury	dhaawac
injured	dhaawacan
usually	dhaaxa
cheek	dhaban
corrected	dhabaqtiran
back	dhabar
indefatigable	dhabar-adag
movement	dhabasho
flatness	dhabbac
flat	dhabbacan
insult	dhabbaqee
street	dhabbe
railroad	dhabbe-bireed
miser	dhabcaal
meaness	dhabcaalnimo
offense	dhabdarro
manage	dhabiil
accounts	dhabiiltan
disturb	dhabqi
palate	dhabxanag
robbery	dhac
robbed	dhacan
swaying	dhacdhac
event	dhacdo
fatigue	dhacsaal
explain	dhacsii
explanation	dhacsiis
feminization	dhaddigayn
boulder	dhadhaab
dream	dhadhab
dream	dhadhab
taste	dhadhami
food	dhadhamo
taste	dhadhan
mixture	dhafandhaaf
mixture	dhafdhaf
mixedness	dhafnaan
mixedness	dhafnaansho
temple	dhafoor
deception	dhagar
deceive	dhagar
deceiver	dhagarlow
stone	dhagax
sandstone	dhagax ciideed
treason	dhagrid
stones	dhagxaan
stones	dhagxan
stone	dhagxi
say	dhah
astonishment	dhakafaar
astound	dhakafaari
dumbfounded	dhakafaarsan
hurry	dhakhso
doctor	dhakhtar
medicine	dhakhtarnimo
veterinarian	dhakhtar xoolaha
offspring	dhal
brightness	dhalaal
shine	dhalaal
melted	dhalaashan
character	dhalan
mirage	dhalanteed
shine	dhaldhalaal
incubator	dhaldiirin
disapprove	dhaleecee
disapproval	dhaleeco
womb	dhali
scorer	dhaliye
baby	dhallaan
turn	dhalleex
turn	dhalleexsi
young	dhallinyar
youth	dhallinyaranimo
bottle	dhalo
family	dhalyo
faint	dhama'
salve	dhamaajo
charcoal	dhamac
cheek	dhaman
club	dhamas
messenger	dhambaalside
ending	dhameys
end	dhammaan
finished	dhammaysan
fullness	dhammaysnimo
complete	dhammayso
conclude	dhammaystir
completed	dhammaystiran
completion	dhammeyn
salve	dhamoojo
smear	dhamooq
all	dhan
side	dhanac
crack	dhanbal
taste	dhandhanso
taste	dhandhemi
nowhere	dhanna
palate	dhanxanag
beverage	dhanyo
wash	dhaq
extravagant	dhaqaaladdaran
squander	dhaqaaladdarree
macroeconomics	dhaqaalaweyne
microeconomics	dhaqaalayare
financial	dhaqaaleed
economy	dhaqaalo
movement	dhaqaaq
rehabitation	dhaqancelin
coarse	dhaqanxun
washing	dhaqasho
washed	dhaqdhaqan
washing	dhaqniin
hurry	dhaqsad
immediately	dhaqsadii
speed	dhaqsasho
hastening	dhaqsiinyo
hurry	dhaqso
day	dharaar
daytime	dharaareed
dew	dharab
wet	dharabsan
rage	dharas
anger	dharas
soak	dharbi
tracksuit	dhar cayaareed
uniform	dhar dagaal
clothe	dharee
drool	dhareer
nude	dharla'
nudity	dharraan
shame	dharrici
overalls	dhar shaqaale
rage	dharsid
tailor	dhartol
tailor	dhartole
seamstress	dhartosho
pool	dhasheeg
vagina	dhasho
ooze	dhashuun
rejection	dhasiig
reject	dhasiig
hit	dhaw
near	dhaw
sex	dhawmo
terror	dhawr
protection	dhawraarin
protected	dhawran
protecting	dhawrid
caring	dhawrmo
selfprotection	dhawrsad
protected	dhawrsan
inheritance	dhaxal
chilled	dhaxamaysan
heir	dhaxle
brisket	dhay
amusement	dhayal
play	dhayal
stare	dhaygag
complete	dhaylan
perfection	dhaylanaan
female	dheddig
femaleness	dheddignimo
taste	dhedhemi
mist	dhedo
liquid	dheecaan
feed	dheefi
Deeg	Dheeg
copying	dheegad
absentminded	dheegan
imitation	dheegasho
coat	dheeh
coated	dheehan
dew	dheel
Deel	Dheel
festivity	dheelaas
drowsiness	dheelallaabo
fooling	dheeldheel
amuse	dheeldheeli
playing	dheelis
balance	dheellitir
balance	dheellitir
balanced	dheellitiran
vagina	dheer
tall	dheer
overtime	dheeraad shaqayn
tall	dheerdheer
speed	dheereyn
elongated	dheereysan
hurry	dheereysii
length	dheeri
centipede	dheertaxaniinyo
ear	dheg
stubborn	dhega-adag
disobedience	dhega-adayg
lashing	dhegaati
deafness	dhegabbeel
earrings	dhegadhego
deaf	dhegala'
promptness	dhegannugeyl
obey	dhegannuglow
responsive	dhegannugul
responsiveness	dhega nuglaan
clove	dhegayare
stethoscope	dhegaystaa
eavesdrop	dhegbas
listen	dhegeyso
stuck	dheggan
hearsay	dhegnuugsi
earrings	dhego
deafness	dhegobbeel
deaf	dhegola'
say	dheh
switch	dhenged
fullness	dhereg
fullness	dheregsanaan
height	dherer
handful	dhererto
middle	dhexaad
centrality	dhexaadnimo
mediation	dhexdhexaadin
mediator	dhexdhexaadiye
neutrality	dhexdhexaadnimo
between	dhexdood
middle	dhexe
mediation	dhexgal
girdle	dhexir
seamed	dhexrooran
amusement	dheyel
menstruation	dhibaaji
suffering	dhibaataysan
annoy	dhibaatee
wound	dhibbaan
drip	dhibci
drip	dhibic
semicolon	dhibic hakad
difficult	dhib leh
nuisance	dhiblow
fixed	dhidban
porcupine	dhiddo
sweat	dhidid
sweat	dhidid
sweaty	dhididsan
rareness	dhif
jerking	dhifad
rarity	dhifnimo
pull	dhifo
teach	dhig
writer	dhige
writing	dhigmo
say	dhih
give	dhiib
annoyance	dhiidhi
attentive	dhiifoon
bleed	dhiigaab
bleed	dhiigbax
anemia	dhiig caddaad
anemia	dhiigdarro
bleed	dhiigee
bloodsucking	dhiigmiirad
exploitation	dhiigmiiradnimo
slip	dhiigo
bruise	dhiigroor
bleed	dhiigroor
anemic	dhiigyar
apprehensive	dhiillaysan
mud	dhiiqo
brave	dhiirran
bravery	dhiirranaan
encourage	dhiirri
courage	dhiirri
encourage	dhiirrigeli
encouragement	dhiirrin
peeled	dhilan
prostitution	dhillaysad
prostitute	dhillo
bedbug	dhilqe
harm	dhimaal
death	dhimasho
mind	dhimir
reducing	dhimis
deficiency	dhimmanaan
decline	dhimmanow
die	dhimo
reduce	dhin
sideways	dhinac dhinac
spark	dhinbil
side	dhinic
incompleteness	dhinnaan
anger	dhirfi
anger	dhirif
touchy	dhirifdhow
angry	dhirifsan
structure	dhis
constructor	dhise
building	dhisid
construction	dhisniin
hoard	dhito
strike	dhoobasho
bragging	dhood
departing	dhoofid
exporting	dhoofin
export	dhoofis
exporter	dhoofiye
exported	dhoofsan
export	dhoofso
absentminded	dhoohan
absentmindedness	dhoohanaan
incisor	dhool
Dole	Dhool
smile	dhoolbir
smile	dhool ka qosol
smile	dhoolla caddee
muddy	dhooqaysan
mud	dhooqo
near	dhow
recently	dhowaan
nearness	dhowaansho
recently	dhoweyto
sex	dhowmo
intelligence	dhoy
string	dhud
castrate	dhufaan
castrated	dhufaanan
trench	dhufeys
jerking	dhuftin
intelligent	dhugbadan
motorcycle	dhugdhugley
stupidity	dhugla'aan
astuteness	dhugmo
glance	dhugo
earwax	dhukay
terrestrial	dhuleed
earthquake	dhulgariir
feudalism	dhulgoosi
gravity	dhuljiidad
shell	dhulman
mainland	dhulweyne
sweeper	dhulxaadh
dive	dhumbo
thickness	dhumuc
coccyx	dhumuq
swallow	dhunji
poison	dhunkaal
kissing	dhunkad
kiss	dhunkasho
kiss	dhunko
vase	dhuntul
swallow	dhunxi
hymen	dhuq
ladle	dhure
blessing	dhurow
hyena	dhurwaa
dirt	dhusuq
limping	dhutin
thin	dhuuban
thinness	dhuubnaan
thinness	dhuubni
flea	dhuudhi
Ctenocephalidessp	dhuudhi
squeeze	dhuuji
stalk	dhuuki
hideandseek	dhuumashow
plumber	dhuumoyaqaan
life	dhuun
testtube	dhuun hubsasho
opportunist	dhuunirraac
squeezed	dhuuqsan
ache	dhuuri
ache	dhuuri
centipede	dhuurtaxaniinyo
fart	dhuuso
charcoal	dhuxul
back	dib
deposit	dibaaji
outside	dibad
demonstration	dibadbax
demonstrate	dibadbax
regress	dibdhac
postpone	dibdhig
outside	dibed
bull	dibi
lip	dibin
indigence	dibjirnimo
destitution	dibjiryo
diplomat	dibloomaasi
diplomacy	dibloomaasiyad
diplomats	dibloomaasiyiin
lips	dibno
scorpion	dibqallooc
again	dib u
backwards	dib ... u
postponement	dibudhac
late	dibudhacsan
postpone	dibudhig
revision	dibufiirin
retreat	dibuggurasho
retreat	dibugguro
reorganizing	dibuhabayn
reaction	dibusocod
retrain	dibutababbar
propaganda	dicaayad
paranoid	didsan
hen	digaagad
gloating	digad
overthrow	digaggub
relocate	digarrogo
slaughter	digdhab
slide	digiigoxo
guineafowl	digiiran
beans	digir
purgative	diglow
warning	digniin
dung	digo
cautious	digtoon
cautiousness	digtoonaan
cautiousness	digtoonaansho
deposit	diibaaji
faint	diid
refused	diiddan
refuse	diiddanow
refusal	diiddo
negative	diiddoley
weakness	diif
weak	diifaysan
cock	diig
innumerability	diigaanyo
destitution	diihaal
stripe	diil
line	diillin
surprise	diimid
religion	diin
turtle	diindiin
religious	diini
atheism	diinla'aan
atheist	diinlaawe
puzzle	diinley
cock	diiq
trickle	diiqalyo
gift	diiqo
caterpillars	diir
compass	diirad
peeled	diiran
Diriye	Diiriye
sympathy	diirnax
warm	diirran
Dirshe	Diirshe
warmth	diirsi
warmth	diirsimaad
compressed	diisan
register	diiwaangeli
registration	diiwaangelin
pulse	dikaan
dictator	diktatoor
dictatorship	diktatooriyad
killer	dilaa
line	dildil
killer	dile
rolling	dilindillo
crack	dillaac
crack	dillaaci
cracked	dillaacsan
tear	dillaacso
broker	dillaal
broker	dillaale
murder	dilliin
democracy	dimoqraadinimo
democratize	dimoqraadiyee
dynamics	dinaamiko
cat	dinnad
disgusted	diqeysan
fly	diqsi
send	dir
study	diraaso
transmitter	dire
driver	direewal
dress	direys
sending	dirid
fight	dirir
strife	dirir
Dirir	Dirir
force	dirqi
genetics	dirtiris
worm	dirxi
discipline	dishibiliin
constitution	distuur
worm	dixiri
chicken	diyaad
roar	diyaan
airplane	diyaarad
prepare	diyaargaree
prepare	diyaari
ready	diyaarsan
side	doc
bachelor	doob
luck	doobir
inkling	dooc iyo dareen
discussion	dood
their	dood
compete	dooddi
argument	doodis
warthog	doofaar
whoa	dooh
buttock	dool
dollar	doollar
mouse	doolli
cake	doolshe
lichen	doomaar
boat	doon
desire	doonasho
search	doondoon
wanting	doonid
engaged	doonnan
boat	doonni
taste	dooq
select	door
partridge	dooradduur
choose	doorbid
binoculars	doorbin
change	doori
binoculars	dooribeyn
chicken	dooro
exchange	doorsi
variable	doorsoome
change	doorsoon
voter	doorte
debate	dootan
gutted	dooxan
valley	dooxo
foolishness	doqonnimo
doctor	dotoor
vagabond	dowddar
state	dowlad
wellrope	dowli
bake	dub
skin	dub
wick	dubaalad
baking	dubasho
anvil	dubbad
hammer	dubbe
hammer	dubbee
worked	dubbeysan
funnel	dublad
funnel	dublo
domino	dubnad
Dualeh	Ducaale
pray	ducee
blessed	duceysan
prayer	duco
scatter	dud
settlement	duddo
spoil	dufee
lubricate	dufni
beast	dugaag
bracelet	dugaagad
wildness	dugaagnimo
shelter	duggaal
noon	duhur
shop	dukaan
shopkeeper	dukaanle
nostril	dul
patience	dulbadi
hole	duleel
pierce	duleeli
drill	duleeliye
pierced	duleeshan
broker	dullaal
subdue	dullee
misfortune	dulli
degradation	dullinimo
highland	dullo
wronged	dulman
indirect	dulmar
overflight	dulmarid
wrong	dulmi
wrong	dulmi
patience	dulqaad
patience	dulqaadasho
drawstring	duluc
opening	dululaati
cheating	dulun
flow	dulundulcee
impatience	dulxumo
impatient	dulxun
impatient	dulyar
sisterinlaw	dumaashi
women	dumar
destroy	dumi
domino	dumnad
Duniya	Duniyo
sympathy	dunji
organization	dunmid
punch	dunnee
punch	dunno
collapsed	dunsan
sins	dunuub
murmur	dunuunuc
dent	duqad
elders	duqeyti
age	duqoob
fly	duqsi
cold	duray
drum	durbaan
drumshaped	durbaansan
already	durban
flow	durdur
bloodstream	durdurka dhiigga
cold	durey
distant	durugsan
expansion	durugsi
edges	duruuf
lessons	duruus
pots	dusuud
turban	duub
leader	duubi
wrapped	duudduuban
deny	duudsi
mucus	duuf
storm	duufaan
extravagance	duuflaalnimo
funeral	duug
bury	duug
burial	duugis
people	duul
fly	duul
expedition	duulaan
flight	duulduul
aggressor	duule
flight	duulid
flight	duulimaad
flying	duulis
aviation	duuliyanimo
attackforce	duullaan
destroyed	duuman
self	duun
different	duwan
emptiness	eber
complete	ebi
done	ebyan
finished	ebyoon
completion	ebyoonaan
completion	ebyoonaansho
impolite	edebdaran
of	ee
hey	ee
God	Eebbe
arrowhead	eebo
blame	eed
difficulty	eedaad
sigh	eedaad
dispute	eedays
accusation	eedaysi
accuse	eedee
suspect	eedeeysane
hardship	eedid
suspect	eedsane
lament	eedsheego
hardship	eel
antelope	eelo
cause	eersad
partiality	eex
favoritism	eexaysi
benevolence	eexis
bias	eexo
dog	eey
relative	ehel
kinship	ehelnimo
relative	ehelo
similarity	ekaan
resemble	ekow
electronics	elegtroonig
electrode	eletrodi
dry	engegan
dryness	engegnaan
word	eray
Ereg	Ereg
word	erey
envoy	ergey
chase	eryo
she	ey
dog	ey
type	eyni
goal	faad
Fatima	Faadumo
spread	faaf
distributor	faafiye
censorship	faafreeb
excavator	faage
explanation	faahfaah
explain	faahfaahi
explanation	faahfaahin
usefulness	faa'iido
beneficial	faa'iido leh
Faizo	Faa'iso
womanizer	faajir
fortuneteller	faalallow
paralysis	faalij
fortuneteller	faaliye
comment	faalle
explain	faallee
commentator	faalleeye
commentary	faallo
boast	faan
fang	faan
commend	faani
bragging	faanid
ivory	faanmaroodi
praised	faansan
lantern	faanuus
inspection	faaqid
controller	faaqide
plane	faaradee
Farah	Faarax
happy	faaraxsan
Faruk	Faaruuq
axe	faas
fortuneteller	faashow
immoral	faasid
heretic	faasiq
heresy	faasiqnimo
boaster	faataadhugle
boast	faataadhuglee
boaster	faataale
Vatican	Faatikaan
age	facaad
actions	facaayil
gambol	faclee
embarrass	facshar
footprint	fadal
hyperactiveness	fadaqnimo
dirtiness	faddaaddo
dirty	faddaraysan
dirty	faddaree
dirtiness	faddaro
favor	faddil
wilderness	faddo
disgrace	fadeexee
disgrace	fadeexo
estimate	fadgooyo
conference	fadhi
fire	fadhiisi
bless	fadli
troublemaking	fadqalallo
provocation	faduul
provoke	faduuli
dig	fag
fence	fagaag
timid	fagaarokanax
bridle	fagaas
digging	fagasho
exclude	fagiiji
dig	fago
understand	faham
understand	fahan
intelligence	fahmad
indisposed	fahmaddaran
disappointment	fahmajab
conscious	fahmeysan
Fahmo	Fahmo
laceration	fajaas
amazed	fajacsan
dawn	fajar
massage	fajays
touch	fajee
amaze	fajici
surprise	fajiciso
massage	fajo
escape	fakad
do	fal
pastime	falaad
magic	falaanfal
woven	falagsan
plowed	falan
magician	falanfallow
explanation	falanqo
Palestine	Falastiin
Palestinian	Falastiini
threaten	falaxgooddi
splinter	falfalliir
splinter	falfalliir
reaction	falgal
adverb	falkaab
matmaking	falkis
rebels	fallaago
blessing	falli
splinter	falliidh
splinter	falliir
splintered	falliiran
outbid	fallis
oddity	fallooci
philosophy	falsafad
design	falsami
Falhada	Falxado
singers	fannaaniin
hole	fantax
smallpox	fanto
poverty	faqri
separate	faquuq
separate	faquuqan
many	fara badan
centipede	farabbadan
wrestle	farafootan
interfere	faraggeli
interference	faraggelin
reward	faraggubyo
handful	faragguuto
fondle	fara ka cayaar
grasp	farakuhay
emptyhanded	fara maran
anticipation	farammaggaadho
octopus	farammaggooggo
jump	faranfardee
France	Faransiis
difference	faraq
knuckles	faraqarrar
fringed	faraqsan
horse	faras
happiness	farax
handwashing	faraxalad
happy	faraxsan
mark	faraxuunsho
horses	fardo
horseman	fardoole
touch	faree
trigger	fargad
struggle	fargasho
struggle	fargo
good	fariid
cleverness	fariidnimo
rarity	farkuddoon
leap	farma'
cheese	farmaajo
rush	farmac
pharmacy	farmashiye
pharmacy	farmasi
difference	farqi
message	farriin
imperative	farriinley
gush	farriiq
apprentice	farsamabbarad
handicraft	farsamada gacanta
manufacturing	farsamayn
electrician	farsameeyaha korontada
master	farsameeye
wellmade	farsameysan
message	fartiimo
obey	fartoon
lip	faruur
cheerful	farxaan
cheerful	farxaanad
happiness	farxad
Farhia	Farxiya
gem	fas
eloquence	fasaaxad
evil	fasahaad
divorced	fasakhan
section	fasal
leave	fasax
hinge	faseexad
fail	fashal
wetness	fashaq
fascist	fashiiste
fascism	fashiistenimo
foil	fashili
eloquence	fasiixnimo
describe	fasir
explained	fasiran
explaining	fasirid
pimp	fataal
enlarge	fataaxi
enlarged	fataaxsan
search	fatash
search	fatash
search	fatish
automobile	fatuurad
Fathia	Fatxiya
plant	faxal
generous	faxan
God	faxane
present	faxdi
generosity	faxnaan
edge	fay
philosophy	faylosofiya
philosopher	faylosuf
medical	fayoobiyeed
healthy	fayow
virus	fayruus
federation	federaalinimo
rib	feedh
box	feedhtan
careful	feejig
carefulness	feejigaan
attentive	feejigan
punch	feer
rib	feer
separation	feeraar
separate	feeraari
development	feeraarin
separation	feeraaris
hit	feeran
combing	feerfeer
combed	feerfeeran
fighter	feertame
boxing	feertan
wart	feex
careful	feeyig
carefulness	feeyigaan
surprise	fejeciso
think	feker
thinking	fekerid
preoccupied	fekersan
idea	fekrad
Venezuela	Fenisuweela
search	fennid
struggle	fergasho
struggle	fergo
search	fetesh
lamp	feynuus
action	ficil
comb	fidh
stretch	fidi
stretching	fidin
troublemaker	fidmawale
sedition	fidmo
troublemaker	fidnawale
trouble	fidno
good	fiican
tip	fiid
dusk	fiidaddow
dusk	fiidnimo
alarmed	fiigsan
whistle	fiiji
pointed	fiiqan
farsighted	fiiradheer
perceptive	fiira dheer
shortsighted	fiiraggaaban
visa	fiise
vitamin	fiitamiin
bud	fiito
think	fikir
worried	fikirsan
age	fil
expect	fil
expectation	filad
expectation	filasho
ugly	fildaran
ostracize	filfili
Philippines	Filibiin
film	filin
throw	filiq
sufficiency	fillaan
assign	fillan
expect	filo
pimple	fin
acne	findoob
fragments	finfiniin
fragment	finiin
peel	finjil
herbalist	fiqidduur
whisper	fiqin
origin	fir
carpeted	firaashan
scatter	firdhi
dispersed	firdhisan
active	firfircoon
alertness	firfircooni
seeds	firi
frequency	firikuwansi
comb	firin
whistle	firinbi
shreds	firo
farsighted	firqoon
farsightedness	firqoonaan
escape	firxad
escape	firxo
physics	fisigis
physics	fisiko
physiology	fisyoolojiye
enlarged	fitaaxsan
snare	fitilig
Vietnam	Fiyetnaam
far	fog
mark	fongor
marked	fongoran
phonology	fonoolojiye
fountain	fontaano
bulge	fooc
bulging	foocsan
clash	foodda is gasho
whistle	foodhi
raised	foogan
overdress	foohaar
alert	foojig
fault	fool
childbirth	foolad
threaten	foolaxgooddi
confront	foolka ku diir
volt	fooltis
goodlooking	foolwanaagsan
ugliness	foolxumi
ugly	foolxun
form	foom
stoop	foorarso
force	fooras
whistle	foori
Fos	Foos
barrel	foosto
frankincense	foox
intimidation	fooxaalli
phosphate	fosfaad
phosphorous	fosfoor
photostat	fotostaat
Fowzia	Fowsiya
simplicity	fudayd
easy	fudfudud
open	fudh
easing	fududayn
cup	fujaan
threaten	fulabbaji
coward	fule
cowardice	fuleynnimo
fulfillment	fulin
executor	fuliye
detach	fullaac
detach	fullaaci
sweater	funaanad
fountain	funtaano
yanked	fuqsan
keyman	furale
customs	furdo
open	furfuran
throw	furfurdee
projectile	furfurdo
solution	furfurid
Koran	Furqaan
divorce	furriin
chance	fursad
mattresses	furshaan
chickenpox	furuqbiyoole
pockmarks	furuqdhoon
pants	futaxumeeye
broth	fuud
rider	fuule
horsemanship	fuullaan
builder	fuundi
projectile	fuuq
inflation	fuursanaan
barrel	fuusto
fuel	fuyuul
short	gaaban
shortness	gaabi
shortness	gaabnaan
shortness	gaabni
ambush	gaad
choice	gaadasho
canter	gaaddabbuur
arrive	gaadh
ambushing	gaadis
ambush	gaadniin
character	gaado
choose	gaado
ready	gaafan
alternating	gaafeysi
plenty	gaafo
alternate	gaafootan
short	gaagaaban
short	gaaggaaban
hungry	gaajaysan
hungry	gaajeysan
hunger	gaajo
disposition	gaal
canter	gaalib
dagger	gaallays
spoil	gaalli
prison	gaalshire
strength	gaan
strong	gaane
particularly	gaar ahaan
drill	gaardi
drill	gaardisii
drill	gaardisiin
clock	gaarhaye
achievement	gaarniin
forest	gaaroodi
reached	gaarsiisan
dawdle	gaasabbixi
shielded	gaashaaman
shield	gaashaan
alliance	gaashaanbuur
defense	gaashaandhig
major	gaashaanle
lieutenantcolonel	gaashaanle dhexe
squadronleader	gaashaanle duuliye
colonel	gaashaanle sare
spot	gaashi
diminished	gaasiran
shrink	gabaabsii
chilly	gabaddanaysan
chilliness	gabaddanaysnaan
conclude	gabaggabee
concluded	gabaggabeysan
conclusion	gabaggabo
girl	gabar
mermaid	gabarey-maanyo
girlhood	gabarnimo
poet	gabayaa
shelterless	gabayoox
shelter	gabbaad
dodge	gabbad
daylight	gabbal
sunflower	gabbaldaye
sunset	gabbaldhac
sunset	gabbaldhacsi
evening	gabbalgaab
tax	gabbaro
dodge	gabbi
childlessness	gablannimo
milklessness	gablool
old	gaboobey
partiality	gabood
biased	gaboodfal
agedness	gabownimo
bowman	gaboy
hunter	gabraar
hunt	gabraar
hunting	gabraarad
partpayment	gabrid
milklessness	gabto
poet	gabyaa
affection	gacaltooyo
interfere	gacandhaaf
handgrenade	gacangarnaydh
murderer	gacankudhiigle
help	gacanqabo
reject	gacansayr
helping	gacansiin
arrest	gacanta ku dhig
towel	gacantir
hands	gacmo
sell	gad
later	gadaal
gynecology	gadaala-aqoon
ending	gadaalraace
circle	gadaf
cover	gadaf
buying	gadasho
tapestry	gaddiifad
merchant	gaddisle
overturn	gaddoon
seller	gade
covered	gadfan
guide	gadhwade
Gadid	Gadiid
backbone	gadoob
anger	gadood
red	gaduudan
err	gaf
mistake	gaf
faultlessness	gaf la'aan
wax	gag
wavering	gaggabsan
pond	gal
commit	gal
whitewash	galaal
glass	galaas
afternoon	galab
covered	galaysan
west	galbeed
cover	galee
shock	galiilyo
favor	gallad
favored	galladaysan
maize	gallay
eagle	gallayr
sex	galmo
globe	galoob
throat	galow
covering	gamaamad
drowsiness	gamaanyo
extinguish	gamaari
drowsing	gama'san
drowsiness	gama'sanaan
uproar	gambalaali
club	gambool
insomnia	gam'iwaa
bluntness	gamuur
bluntness	gamuux
blunt	gamuuxan
hook	gan
fine	ganaax
punish	ganaax
fined	ganaaxan
pancreas	ganac
inexpensive	ganacjaban
selling	ganacsad
merchant	ganacsade
trader	ganacsato
trade	ganacsi
wounded	ganan
uproar	ganbalaali
stool	ganbar
fighting	ganbi
club	ganbool
partition	gandoob
throw	gantaal
knock	garaac
blow	garaacid
chief	garaad
foolish	garaadla'
sensible	garaad leh
foolishness	garaadxumi
thoughtless	garaadyar
irrationality	garaadyari
graph	garaaf
garage	garaash
support	garabgal
sustain	garabqabo
support	garabso
leaning	garabtaagan
bastard	garac
wheel	garangar
understanding	garansho
reminding	garansiin
informed	garansoon
knowledge	garansoonaan
understanding	garasho
necktie	garawaati
agree	garayso
crowbar	garbadel
tiescore	garbadhac
shirt	garbaggale
jacket	garbaggashi
shoulders	garbo
chest	gardaad
wrong	gardaran
intimidation	gardarraysasho
offense	gardarro
comb	garfeedh
comb	garfeer
help	gargaar
complain	gargelyood
elders	gargeyr
